"Latitude","Longitude","LAW_CAT_CD"
40.8328953810001,-73.926716496,"MISDEMEANOR"
40.75171594,-73.864694127,"VIOLATION"
40.6476484770001,-74.082646944,"MISDEMEANOR"
40.706548395,-73.9504006339999,"MISDEMEANOR"
40.6783475600001,-73.91191358,"FELONY"
40.813088658,-73.957979911,"VIOLATION"
40.8532409800001,-73.853654148,"MISDEMEANOR"
40.6988272830001,-73.938819047,"FELONY"
40.774719868,-73.913363895,"FELONY"
40.8478836470001,-73.888314287,"MISDEMEANOR"
40.715239411,-73.751777148,"MISDEMEANOR"
40.5936853270001,-73.75907038,"VIOLATION"
40.6860822150001,-73.919233753,"VIOLATION"
40.8598826510001,-73.893217937,"FELONY"
40.815732053,-73.945420411,"FELONY"
40.8496645430001,-73.899812858,"VIOLATION"
40.599247216,-74.0962276659999,"MISDEMEANOR"
40.578772821,-73.956388566,"FELONY"
40.727286571,-73.854821909,"MISDEMEANOR"
40.7762114840001,-73.9270171739999,"FELONY"
40.7707416810001,-73.987379899,"MISDEMEANOR"
40.7562580790001,-73.9431879369999,"FELONY"
40.714194289,-74.01288644,"MISDEMEANOR"
40.8286754580001,-73.943989716,"MISDEMEANOR"
40.6056603550001,-73.972397041,"FELONY"
40.72046384,-74.006852204,"MISDEMEANOR"
40.8208213460001,-73.8656989419999,"FELONY"
40.847252165,-73.888109323,"VIOLATION"
40.6785594040001,-73.991929193,"FELONY"
40.633266651,-74.085226785,"MISDEMEANOR"
40.758283922,-73.933353633,"VIOLATION"
40.706731424,-73.789366743,"VIOLATION"
40.7643797850001,-73.992016265,"FELONY"
40.8873136340001,-73.847271758,"MISDEMEANOR"
40.7861233140001,-73.9426135639999,"MISDEMEANOR"
40.7412330130001,-73.859511687,"FELONY"
40.6602160690001,-73.949123116,"MISDEMEANOR"
40.737532038,-73.7813812059999,"VIOLATION"
40.8115752350001,-73.942721669,"MISDEMEANOR"
40.749193549,-73.975614653,"FELONY"
40.770827222,-73.9926111889999,"FELONY"
40.852249186,-73.9052816349999,"VIOLATION"
40.6464489360001,-74.078836495,"MISDEMEANOR"
40.8349258580001,-73.894125296,"MISDEMEANOR"
40.7617039890001,-73.9498217029999,"MISDEMEANOR"
40.841642767,-73.9410658099999,"MISDEMEANOR"
40.7127365090001,-73.9014218459999,"MISDEMEANOR"
40.7001306120001,-73.916317141,"MISDEMEANOR"
40.861186817,-73.90635708,"MISDEMEANOR"
40.8726909700001,-73.897970253,"MISDEMEANOR"
40.7353309160001,-73.875451472,"MISDEMEANOR"
40.7071387460001,-73.903258792,"FELONY"
40.8366303550001,-73.8855360479999,"MISDEMEANOR"
40.8981845980001,-73.844656855,"MISDEMEANOR"
40.810351863,-73.924942326,"MISDEMEANOR"
40.746630043,-73.893590736,"MISDEMEANOR"
40.678983939,-73.783170296,"MISDEMEANOR"
40.618317098,-74.004125776,"MISDEMEANOR"
40.8047081120001,-73.912421831,"MISDEMEANOR"
40.800175902,-73.94745943,"VIOLATION"
40.785874639,-73.9509301529999,"MISDEMEANOR"
40.795814831,-73.937101065,"MISDEMEANOR"
40.6686307310001,-73.9046303809999,"FELONY"
40.6809278470001,-73.908647264,"FELONY"
40.891202169,-73.861979708,"FELONY"
40.8194354070001,-73.8949267209999,"VIOLATION"
40.6734968010001,-73.880646419,"MISDEMEANOR"
40.677605279,-73.82821878,"MISDEMEANOR"
40.8659607280001,-73.918353668,"MISDEMEANOR"
40.8346993700001,-73.942495779,"MISDEMEANOR"
40.81686833,-73.882748449,"MISDEMEANOR"
40.821551984,-73.886653123,"MISDEMEANOR"
40.8681589540001,-73.90051534,"MISDEMEANOR"
40.72279473,-73.976688579,"MISDEMEANOR"
40.781939767,-73.9150263449999,"VIOLATION"
40.675999231,-73.9031597549999,"MISDEMEANOR"
40.7178756320001,-73.995120608,"MISDEMEANOR"
40.655388504,-73.882365508,"MISDEMEANOR"
40.6631894550001,-73.9100520659999,"FELONY"
40.6746344000001,-74.007712713,"MISDEMEANOR"
40.6609698950001,-73.9313675449999,"FELONY"
40.859383902,-73.897104968,"FELONY"
40.819145544,-73.822011339,"VIOLATION"
40.7978715030001,-73.944116763,"MISDEMEANOR"
40.7071387460001,-73.903258792,"MISDEMEANOR"
40.657145746,-73.9036448479999,"MISDEMEANOR"
40.8331545990001,-73.9091393109999,"FELONY"
40.7946592850001,-73.971787782,"VIOLATION"
40.7394202610001,-73.815811842,"VIOLATION"
40.83797822,-73.9071486729999,"MISDEMEANOR"
40.675711187,-73.739075499,"FELONY"
40.838964382,-73.8637469029999,"FELONY"
40.694593238,-73.7934728499999,"FELONY"
40.698706691,-73.7426027189999,"MISDEMEANOR"
40.695326403,-73.809568696,"FELONY"
40.687200784,-73.794577477,"FELONY"
40.8330149270001,-73.8512955469999,"FELONY"
40.882635463,-73.883941587,"MISDEMEANOR"
40.7005302040001,-73.811057739,"MISDEMEANOR"
40.75030192,-73.973326029,"MISDEMEANOR"
40.7504307680001,-73.989282176,"MISDEMEANOR"
40.7540898550001,-73.993941298,"MISDEMEANOR"
40.7298995890001,-73.861512805,"MISDEMEANOR"
40.7413413730001,-73.978392609,"MISDEMEANOR"
40.7612481690001,-73.994298014,"MISDEMEANOR"
40.817474228,-73.896360494,"FELONY"
40.762216908,-73.991742178,"MISDEMEANOR"
40.767386613,-73.980286684,"VIOLATION"
40.676080719,-73.905430888,"MISDEMEANOR"
40.6340442520001,-74.1236093749999,"MISDEMEANOR"
40.866938533,-73.886684229,"MISDEMEANOR"
40.7453430200001,-73.835474878,"MISDEMEANOR"
40.5478129960001,-74.159648186,"VIOLATION"
40.722640996,-73.8515418219999,"MISDEMEANOR"
40.7897095380001,-73.9679727229999,"VIOLATION"
40.824210201,-73.906495831,"FELONY"
40.76636433,-73.8238382879999,"VIOLATION"
40.768181348,-73.963849459,"MISDEMEANOR"
40.746065603,-73.8610136459999,"MISDEMEANOR"
40.6376247160001,-73.945249009,"VIOLATION"
40.8458900100001,-73.905659355,"MISDEMEANOR"
40.5823019920001,-74.1689360949999,"VIOLATION"
40.7147254600001,-73.831845802,"MISDEMEANOR"
40.733883033,-74.0054283109999,"MISDEMEANOR"
40.711729862,-73.943070783,"FELONY"
40.8273835200001,-73.910491361,"MISDEMEANOR"
40.839560428,-73.91594299,"FELONY"
40.8261696120001,-73.916830709,"VIOLATION"
40.8149761390001,-73.8619427049999,"VIOLATION"
40.7435773710001,-73.992321897,"FELONY"
40.671599563,-73.7798020659999,"FELONY"
40.8798679340001,-73.8803916809999,"VIOLATION"
40.8346993700001,-73.942495779,"VIOLATION"
40.6423081190001,-74.016998372,"MISDEMEANOR"
40.7897095380001,-73.9679727229999,"VIOLATION"
40.6100355020001,-73.7535873529999,"VIOLATION"
40.6764199740001,-73.8917307239999,"MISDEMEANOR"
40.886055507,-73.878756719,"MISDEMEANOR"
40.781878303,-73.977408128,"VIOLATION"
40.6883477740001,-73.799055993,"MISDEMEANOR"
40.84939095,-73.9145498079999,"MISDEMEANOR"
40.6005368880001,-73.746549858,"VIOLATION"
40.8563345960001,-73.8724305389999,"MISDEMEANOR"
40.6874016190001,-73.940369194,"MISDEMEANOR"
40.873377987,-73.8870854639999,"FELONY"
40.852992917,-73.9051793629999,"FELONY"
40.6933462800001,-73.906574775,"MISDEMEANOR"
40.721374016,-73.7430382809999,"FELONY"
40.6581934320001,-74.0010322429999,"MISDEMEANOR"
40.695156844,-73.855227246,"MISDEMEANOR"
40.750040316,-73.983399305,"VIOLATION"
40.6890822830001,-73.8527668099999,"MISDEMEANOR"
40.8102176950001,-73.9394969419999,"MISDEMEANOR"
40.746065603,-73.8610136459999,"MISDEMEANOR"
40.825967994,-73.856821554,"MISDEMEANOR"
40.7014888140001,-74.012544968,"MISDEMEANOR"
40.6833630400001,-73.974867134,"MISDEMEANOR"
40.841642767,-73.9410658099999,"FELONY"
40.7002671380001,-73.8923447669999,"VIOLATION"
40.81771209,-73.915396145,"MISDEMEANOR"
40.7717389250001,-73.9501860079999,"MISDEMEANOR"
40.719598095,-73.982367922,"MISDEMEANOR"
40.664872739,-73.9041635569999,"MISDEMEANOR"
40.765731916,-73.819565698,"VIOLATION"
40.818568337,-73.927313946,"MISDEMEANOR"
40.806279079,-73.888170975,"MISDEMEANOR"
40.7027512120001,-74.0142150629999,"FELONY"
40.7117164470001,-73.9968632819999,"FELONY"
40.813710246,-73.923182807,"VIOLATION"
40.812699137,-73.921619736,"MISDEMEANOR"
40.758617622,-73.9832094669999,"VIOLATION"
40.8464835840001,-73.8938502789999,"MISDEMEANOR"
40.752938187,-73.8829981279999,"VIOLATION"
40.71582183,-73.942122172,"VIOLATION"
40.681413218,-73.927257927,"VIOLATION"
40.7456306870001,-73.998247512,"MISDEMEANOR"
40.6556711540001,-73.975663251,"MISDEMEANOR"
40.7458535870001,-73.903278364,"FELONY"
40.631093169,-73.947502471,"FELONY"
40.7519453570001,-73.873345079,"MISDEMEANOR"
40.6988272830001,-73.938819047,"MISDEMEANOR"
40.6787312380001,-73.9529882969999,"MISDEMEANOR"
40.745625287,-73.7549516779999,"MISDEMEANOR"
40.7628095370001,-73.962747758,"MISDEMEANOR"
40.6508643600001,-73.9485932809999,"MISDEMEANOR"
40.8376358730001,-73.8893253159999,"FELONY"
40.872613373,-73.8854741069999,"FELONY"
40.889463037,-73.841396855,"FELONY"
40.7128031760001,-74.007446595,"MISDEMEANOR"
40.7812536650001,-73.8045530049999,"VIOLATION"
40.66329319,-73.996649288,"FELONY"
40.6817250180001,-73.858317448,"FELONY"
40.756567585,-73.875931534,"MISDEMEANOR"
40.677605279,-73.82821878,"MISDEMEANOR"
40.7202553390001,-73.995116826,"FELONY"
40.76552838,-73.9800381439999,"VIOLATION"
40.872762531,-73.8783506729999,"FELONY"
40.8350405990001,-73.944298757,"VIOLATION"
40.861855387,-73.892459187,"MISDEMEANOR"
40.6964557580001,-73.8965413999999,"VIOLATION"
40.593760536,-73.9802983279999,"MISDEMEANOR"
40.852095535,-73.892796674,"FELONY"
40.720450333,-73.97491448,"MISDEMEANOR"
40.805830187,-73.9617809009999,"VIOLATION"
40.846260031,-73.901755295,"MISDEMEANOR"
40.8480070580001,-73.934695075,"MISDEMEANOR"
40.7933009430001,-73.9487649979999,"FELONY"
40.640810715,-73.9986574289999,"MISDEMEANOR"
40.6734968010001,-73.880646419,"MISDEMEANOR"
40.663456013,-73.945537794,"MISDEMEANOR"
40.728618596,-73.9946579969999,"MISDEMEANOR"
40.700298353,-73.92903695,"MISDEMEANOR"
40.7428420750001,-73.956555443,"MISDEMEANOR"
40.7957801390001,-73.965401925,"MISDEMEANOR"
40.8583960990001,-73.9005660939999,"VIOLATION"
40.815458811,-73.948083202,"VIOLATION"
40.574825477,-73.99092661,"VIOLATION"
40.6442584820001,-73.965476885,"FELONY"
40.7586681870001,-73.9961788529999,"MISDEMEANOR"
40.791880695,-73.968246146,"MISDEMEANOR"
